Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Director_Name,Director_Gender,Director_Nationality,Director_Birth_Year,Director_Awards
Mulholland Dr.,2001,,147 min,,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",Cody Bennett,Male,Guyana,,7.0
The Hurricane,1999,"Biography, Drama, Sport",146 min,7.6,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",Douglas Wagner,Non-binary,Seychelles,1980.0,1.0
Bir Zamanlar Anadolu'da,2011,,157 min,,A group of men set out in search of a dead body in the Anatolian steppes.,Wendy Holmes,Non-binary,Guinea-Bissau,1982.0,7.0
Chinatown,1974,"Drama, Mystery, Thriller",130 min,8.1,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",Kelly Owens,,Nauru,,2.0
Scarface: The Shame of the Nation,1932,"Action, Crime, Drama",93 min,7.8,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",Craig Davis,Non-binary,Saint Pierre and Miquelon,,
Dark Waters,2019,"Biography, Drama, History",,7.6,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,Christopher Hancock,Female,San Marino,1982.0,3.0
Gran Torino,2008,Drama,116 min,8.1,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Adam Fletcher,Non-binary,Pitcairn Islands,1971.0,
La vita è bella,1997,"Comedy, Drama, Romance",116 min,8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Susan Burns,Male,Rwanda,1941.0,19.0
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,,Kevin Cardenas,Male,Greenland,1940.0,19.0
Anatomy of a Murder,1959,"Crime, Drama, Mystery",161 min,8.0,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",William Davis PhD,Male,Benin,1974.0,1.0
Minority Report,2002,,,7.6,,Samantha Spence,Male,Netherlands Antilles,1975.0,
Sin City,2005,"Crime, Thriller",,,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",Jean Patterson,,Niger,1966.0,5.0
Mary and Max,2009,"Animation, Comedy, Drama",92 min,8.1,,Colin Beard,Non-binary,Guatemala,,
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Jacqueline Mooney,Female,,1941.0,0.0
The Bridges of Madison County,1995,"Drama, Romance",135 min,7.6,,Amanda Sullivan,Non-binary,United Arab Emirates,1973.0,4.0
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",186 min,8.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Jeffrey Booth,Male,French Polynesia,1986.0,
Isle of Dogs,2018,"Animation, Adventure, Comedy",101 min,7.9,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Jennifer Mcgee,Non-binary,Saint Barthelemy,1957.0,5.0
Trois couleurs: Blanc,1994,"Comedy, Drama, Romance",92 min,7.6,"After his wife divorces him, a Polish immigrant plots to get even with her.",Tyler Baker,Female,Iran,,
Enter the Dragon,1973,"Action, Crime, Drama",102 min,,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,Lisa Martin,Non-binary,Bhutan,1958.0,11.0
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Timothy Taylor,,Turkmenistan,1941.0,
Ordinary People,1980,Drama,124 min,7.7,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Stacey Rice,Male,,1972.0,16.0
Sherlock Jr.,1924,,45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Michael Jenkins,,Grenada,1984.0,8.0
Where Eagles Dare,1968,"Action, Adventure, War",158 min,,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.",Emily Sanchez,Non-binary,,1983.0,5.0
Peeping Tom,1960,"Drama, Horror, Thriller",101 min,7.7,,Renee Kelly,Non-binary,Sudan,1967.0,11.0
Shaun of the Dead,2004,,99 min,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,Vickie Hartman,,Slovenia,1951.0,4.0
Dazed and Confused,1993,Comedy,102 min,7.6,The adventures of high school and junior high students on the last day of school in May 1976.,James Stewart,Non-binary,Georgia,1946.0,8.0
Withnail & I,1987,"Comedy, Drama",,7.7,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",Pamela Cisneros,Female,Cuba,1946.0,3.0
M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",184 min,7.8,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Thomas Brown,Female,,,0.0
Falling Down,1993,"Action, Crime, Drama",113 min,7.6,,Michelle Perez,Male,Sweden,1949.0,10.0
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Haley Berger,Non-binary,Svalbard & Jan Mayen Islands,1955.0,13.0
Kick-Ass,2010,,117 min,,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",Amber Moody,,Kazakhstan,1952.0,8.0
V for Vendetta,2005,"Action, Drama, Sci-Fi",132 min,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Christopher Conway,Female,Cuba,1979.0,16.0
Happiness,1998,"Comedy, Drama",,7.7,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",,,Grenada,1973.0,
Blowup,1966,"Drama, Mystery, Thriller",111 min,7.6,A fashion photographer unknowingly captures a death on film after following two lovers in a park.,David Sanchez,Male,Pakistan,,8.0
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Family, Fantasy",146 min,,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",,,Russian Federation,1962.0,18.0
Taxi Driver,1976,"Crime, Drama",114 min,8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Jason Berry,,,1957.0,
Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",130 min,8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",,Male,Philippines,1990.0,2.0
E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi",115 min,7.8,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Clayton Mcdaniel Jr.,Female,Macao,1965.0,15.0
Reservoir Dogs,1992,,99 min,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Robin Anderson,,Korea,,14.0
The Last Picture Show,1971,"Drama, Romance",118 min,8.0,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Corey Chavez,Female,,1963.0,16.0
The Exorcist,1973,Horror,122 min,8.0,,Amber Dominguez,Female,,1965.0,11.0
The Hangover,2009,Comedy,100 min,,,Steven Morrison,Male,Norway,,1.0
Loving Vincent,2017,"Animation, Biography, Crime",,7.8,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",,Female,Nauru,,
Lost in Translation,2003,,102 min,7.7,,Keith Thomas,Non-binary,United States Minor Outlying Islands,1955.0,18.0
Majo no takkyûbin,1989,"Animation, Adventure, Drama",103 min,7.8,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",David Gonzales,,Saudi Arabia,1984.0,5.0
Vertigo,1958,"Mystery, Romance, Thriller",128 min,,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Jennifer Escobar,,Tanzania,1954.0,11.0
Capharnaüm,2018,Drama,126 min,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Gary Jones,Non-binary,Jamaica,,
Toy Story 3,2010,"Animation, Adventure, Comedy",103 min,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Cheyenne Meyer,Female,,1983.0,8.0
Do the Right Thing,1989,,120 min,8.0,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Derek Harris,Non-binary,Costa Rica,1945.0,
The Royal Tenenbaums,2001,,110 min,7.6,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Tami Garcia,Female,,1981.0,
PK,2014,"Comedy, Drama, Musical",,,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Steven Hughes,Female,Jamaica,,3.0
What's Eating Gilbert Grape,1993,Drama,118 min,7.8,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,,Male,China,1988.0,7.0
Rupan sansei: Kariosutoro no shiro,1979,"Animation, Adventure, Family",,,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",Lauren Charles,Female,Fiji,,16.0
Death Note: Desu nôto,2006,"Crime, Drama, Fantasy",126 min,,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",Jennifer Fox,Non-binary,,1945.0,0.0
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,,Sean Mitchell,Non-binary,Turks and Caicos Islands,1965.0,1.0
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Stephen Henderson,Male,,1964.0,0.0
The Prestige,2006,"Drama, Mystery, Sci-Fi",130 min,8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Robert Crosby,Female,Paraguay,1964.0,7.0
Brief Encounter,1945,"Drama, Romance",86 min,8.0,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",Sandra Higgins,Male,South Africa,1975.0,1.0
Shrek,2001,"Animation, Adventure, Comedy",90 min,7.8,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Bradley Barker,Female,Belize,1970.0,15.0
Fa yeung nin wah,2000,"Drama, Romance",98 min,8.1,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Miranda Horne,Male,Kiribati,1943.0,11.0
Kumonosu-jô,1957,"Drama, History",110 min,8.1,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Timothy Oliver,Female,Malawi,1980.0,
Star Trek Into Darkness,2013,,132 min,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Kara Brown,Female,British Virgin Islands,1940.0,4.0
Sound of Metal,2019,"Drama, Music",120 min,7.8,,Gabriela Jackson,Male,North Macedonia,1984.0,5.0
Avatar,2009,"Action, Adventure, Fantasy",,7.8,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,Heather Brown,Male,Albania,1950.0,1.0
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Donna Mccullough,Male,Brazil,1945.0,17.0
Incredibles 2,2018,"Animation, Action, Adventure",118 min,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,Jennifer Brown,Male,El Salvador,1971.0,20.0
Jurassic Park,1993,,127 min,8.1,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Christopher Snyder,Female,Korea,1967.0,13.0
Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery",144 min,7.8,,Johnny Kennedy,Female,Iran,1981.0,7.0
Jungfrukällan,1960,Drama,89 min,,,Nicholas Richardson,Non-binary,,1990.0,10.0
Annie Hall,1977,"Comedy, Romance",,8.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,David Skinner,Female,Iraq,1961.0,7.0
Pan's Labyrinth,2006,"Drama, Fantasy, War",118 min,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Adam Farrell,Male,Nepal,1976.0,13.0
I Am Sam,2001,Drama,132 min,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Susan Johnson,,,1946.0,
Les triplettes de Belleville,2003,"Animation, Comedy, Drama",80 min,7.8,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Jordan Ross,Female,,1973.0,
Only the Brave,2017,"Action, Biography, Drama",134 min,7.6,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",,Non-binary,Anguilla,1942.0,2.0
L'avventura,1960,,144 min,7.9,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Karen Hobbs MD,Non-binary,Antigua and Barbuda,1954.0,18.0
Mustang,2015,Drama,97 min,7.6,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Walter Lane,Female,Falkland Islands (Malvinas),1953.0,11.0
District 9,2009,"Action, Sci-Fi, Thriller",112 min,7.9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,Shawn Cruz,Male,Madagascar,1984.0,3.0
The Wolf of Wall Street,2013,"Biography, Crime, Drama",180 min,,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",,Male,New Caledonia,1976.0,16.0
Up,2009,,96 min,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Molly Gonzalez,,Saint Helena,1970.0,1.0
Roma,2018,Drama,135 min,7.7,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Vanessa Brewer,Non-binary,Cocos (Keeling) Islands,1957.0,5.0
Lord of War,2005,"Action, Crime, Drama",,,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Christy Williams,Female,Christmas Island,1942.0,
Nebraska,2013,"Adventure, Comedy, Drama",115 min,7.7,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",Ryan Davis,Female,Albania,1944.0,16.0
Tombstone,1993,"Action, Biography, Drama",130 min,7.8,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",Charles Martin,Female,,1983.0,1.0
Deadpool,2016,"Action, Adventure, Comedy",108 min,8.0,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Michael Miller,Female,Tuvalu,1957.0,12.0
Knives Out,2019,"Comedy, Crime, Drama",130 min,,"A detective investigates the death of a patriarch of an eccentric, combative family.",Gary Jones,Male,Micronesia,,2.0
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",163 min,8.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Lindsey Rose,Male,Finland,1976.0,14.0
Du rififi chez les hommes,1955,"Crime, Drama, Thriller",118 min,8.2,"Four men plan a technically perfect crime, but the human element intervenes...",Nancy Cox,Female,Cote d'Ivoire,1982.0,9.0
Double Indemnity,1944,"Crime, Drama, Film-Noir",107 min,8.3,,John Frazier,Non-binary,New Caledonia,1942.0,9.0
Dirty Harry,1971,"Action, Crime, Thriller",102 min,7.7,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",John Sullivan,Female,Namibia,1951.0,10.0
Chugyeokja,2008,"Action, Crime, Thriller",125 min,7.8,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,Jennifer Jackson,Male,Slovakia (Slovak Republic),1960.0,2.0
El secreto de sus ojos,2009,"Drama, Mystery, Romance",,,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Sara Freeman,Male,Greenland,1941.0,17.0
Funny Games,1997,"Crime, Drama, Thriller",108 min,7.6,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",Phillip Myers,Non-binary,United States Virgin Islands,,14.0
Koe no katachi,2016,"Animation, Drama, Family",130 min,8.1,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Jeffrey Martinez,Female,New Zealand,1977.0,0.0
The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy",161 min,7.8,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",William Harrison,Male,Tajikistan,,
Rocky,1976,"Drama, Sport",,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Kevin Cummings,Male,Saint Martin,1988.0,6.0
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",134 min,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Brett Ramirez,Female,Guernsey,1985.0,9.0
JFK,1991,,189 min,8.0,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Kylie Williams,Female,Cote d'Ivoire,1965.0,18.0
Ladri di biciclette,1948,Drama,89 min,8.3,,Lori Harrison,Non-binary,Western Sahara,1944.0,9.0
Some Like It Hot,1959,"Comedy, Music, Romance",121 min,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",Tracy Dorsey,Non-binary,Mali,,19.0
Logan,2017,"Action, Drama, Sci-Fi",137 min,8.1,,Nina Nelson,Non-binary,,1950.0,
Touch of Evil,1958,"Crime, Drama, Film-Noir",95 min,,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",,Female,Turkey,1976.0,14.0
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,"Animation, Action, Drama",,8.1,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,Chelsea Bowers,Female,United States Minor Outlying Islands,,11.0
Jaws,1975,"Adventure, Thriller",124 min,8.0,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Patricia Ferguson,Non-binary,Georgia,1976.0,18.0
Saw,2004,"Horror, Mystery, Thriller",103 min,,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Justin Williams,Male,,1964.0,15.0
Efter brylluppet,2006,,,7.7,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Steven Hernandez,Male,Iran,1983.0,6.0
Despicable Me,2010,"Animation, Comedy, Crime",,7.6,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",,Female,Algeria,1974.0,17.0
The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance",,7.7,,Dr. Jessica Turner,Male,,1961.0,7.0
Guardians of the Galaxy Vol. 2,2017,"Action, Adventure, Comedy",136 min,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Richard Simpson,Female,Congo,1964.0,4.0
Uri: The Surgical Strike,2018,"Action, Drama, War",138 min,8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Connie Clements,Non-binary,Liechtenstein,,
The Notebook,2004,"Drama, Romance",123 min,7.8,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Kayla Simpson,Female,Bulgaria,1987.0,
Dances with Wolves,1990,"Adventure, Drama, Western",,8.0,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Rachel Hogan,Female,Portugal,1948.0,0.0
The Last Samurai,2003,"Action, Drama",154 min,7.7,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,Melinda Massey,Female,United States Virgin Islands,1990.0,
Control,2007,"Biography, Drama, Music",122 min,7.7,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",Austin Jackson,Male,Palestinian Territory,1984.0,17.0
Kai po che!,2013,"Drama, Sport",130 min,7.7,,Linda Doyle,Female,Austria,1986.0,11.0
Die Welle,2008,"Drama, Thriller",107 min,7.6,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,Jesse Smith,Male,Honduras,1945.0,20.0
Song of the Sea,2014,"Animation, Adventure, Drama",93 min,,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Jessica Sims,Non-binary,Bouvet Island (Bouvetoya),1972.0,0.0
Gongdong gyeongbi guyeok JSA,2000,,110 min,7.8,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",,,Oman,,10.0
The Blind Side,2009,"Biography, Drama, Sport",129 min,7.6,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Emily Rose,Male,Turkey,1962.0,0.0
Silver Linings Playbook,2012,"Comedy, Drama, Romance",122 min,7.7,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",Alicia Martinez,Female,Heard Island and McDonald Islands,1943.0,12.0
As Good as It Gets,1997,,139 min,7.7,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",Brittany Brown,Non-binary,Saint Vincent and the Grenadines,1946.0,9.0
Stardust,2007,,127 min,7.6,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Rebecca Skinner,,,1967.0,3.0
Mr. Nobody,2009,"Drama, Fantasy, Romance",141 min,,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Brandi Powell,Male,Guam,1954.0,6.0
Gilda,1946,"Drama, Film-Noir, Romance",110 min,7.7,,,Female,Belgium,1944.0,16.0
Flipped,2010,"Comedy, Drama, Romance",90 min,7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,Sean Chung,Non-binary,Ecuador,1961.0,7.0
Pâfekuto burû,1997,"Animation, Crime, Mystery",81 min,8.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Gregg Parker,Female,Dominican Republic,1978.0,13.0
Delicatessen,1991,"Comedy, Crime",99 min,7.6,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,Amanda Horton,Non-binary,Brazil,1989.0,
No Man's Land,2001,"Comedy, Drama, War",98 min,7.9,,Mikayla Bender,Female,Solomon Islands,1979.0,1.0
Stand by Me,1986,"Adventure, Drama",89 min,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Ian Wilson,Non-binary,Mauritius,,
The Muppet Christmas Carol,1992,"Comedy, Drama, Family",85 min,7.7,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,Bonnie Walker,Non-binary,Jamaica,1965.0,8.0
The Killing,1956,"Crime, Drama, Film-Noir",84 min,,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,Mr. Lee Noble MD,Non-binary,Slovenia,1989.0,2.0
Letters from Iwo Jima,2006,"Action, Adventure, Drama",141 min,,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",Rita Hancock,,Grenada,1960.0,1.0
The Sting,1973,"Comedy, Crime, Drama",129 min,,Two grifters team up to pull off the ultimate con.,Luke Pham,Male,Azerbaijan,1941.0,7.0
The Outlaw Josey Wales,1976,,135 min,7.8,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,Jennifer Jackson,Male,Taiwan,1980.0,
No Country for Old Men,2007,"Crime, Drama, Thriller",122 min,8.1,,Eric Ortiz,,Tonga,1957.0,13.0
The Ladykillers,1955,,91 min,7.7,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Samantha Valdez,,Zimbabwe,,
Madeo,2009,"Crime, Drama, Mystery",129 min,7.8,A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Deborah Rivas,Female,,1968.0,14.0
Awakenings,1990,"Biography, Drama",121 min,,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Phillip Kelly,Non-binary,,1971.0,2.0
Cinderella Man,2005,"Biography, Drama, History",,8.0,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Shannon Fletcher,Female,,1954.0,18.0
On Golden Pond,1981,Drama,109 min,,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",Jon Chapman,Male,,1962.0,3.0
Airplane!,1980,Comedy,,7.7,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Brian Jones,Male,Marshall Islands,1975.0,
Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",144 min,8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,,Non-binary,Guyana,,
The Magdalene Sisters,2002,,114 min,7.7,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,,Non-binary,,1967.0,
Mississippi Burning,1988,"Crime, Drama, History",128 min,7.8,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Sandra Sanchez,Female,,,12.0
