Series_Title,Production_Budget,Box_Office_Gross,Profitability_Ratio,Primary_Production_Company,Release_Season
Dawn of the Planet of the Apes,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Compton Inc,Spring
Red River,172000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Lee-Jenkins,Spring
Persepolis,51000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sheppard Ltd,Spring
Dilwale Dulhania Le Jayenge,94000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oconnell Inc,Spring
The Lego Movie,111000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rogers-Carey,Winter
Hot Fuzz,18000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brown LLC,Spring
The World's Fastest Indian,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Salinas-Manning,Fall
Zerkalo,85000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Ferguson LLC,Summer
Pirates of the Caribbean: The Curse of the Black Pearl,160000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hurley, Bass and Davis",Spring
Dancer in the Dark,81000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Thomas, Butler and Ford",Fall
A Wednesday,170000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Walker Ltd,Spring
American Psycho,32000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Castillo, Jackson and Small",Winter
Do lok tin si,185000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bailey-Wolfe,Fall
Sing Street,77000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia-Hughes,Winter
The Help,130000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rivera and Sons,Spring
Mystic River,80000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Palmer-Grant,Fall
Lilja 4-ever,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williamson Group,Fall
Midnight Express,105000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams PLC,Fall
300,84000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Aguirre, Howard and Wolfe",Spring
Hævnen,104000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rogers-Allen,Summer
Auf der anderen Seite,179000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Foster PLC,Summer
The Odd Couple,76000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gay, Gonzales and Allen",Winter
Rushmore,142000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Aguirre-Carter,Summer
Wo hu cang long,33000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Sexton, Lucas and Duncan",Spring
Love and Death,50000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mcguire-Wilson,Fall
Strangers on a Train,108000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morton and Sons,Fall
Fear and Loathing in Las Vegas,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith Ltd,Spring
Udta Punjab,98000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Yu Ltd,Fall
Ocean's Eleven,174000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Myers, Wilson and Rodriguez",Summer
Tumbbad,192000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brock-Wilson,Winter
Finding Nemo,45000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Moon Ltd,Spring
Willy Wonka & the Chocolate Factory,158000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Diaz LLC,Fall
A Beautiful Mind,146000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Alvarado-Gillespie,Spring
Edward Scissorhands,78000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Carlson PLC,Summer
The Intouchables,104000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reeves Group,Fall
"Aguirre, der Zorn Gottes",141000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"White, Benson and Miller",Fall
Tonari no Totoro,1000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sweeney LLC,Fall
Gattaca,78000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams PLC,Fall
Bridge of Spies,74000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez-Whitaker,Spring
Belle de jour,54000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ortega, Higgins and Kaufman",Summer
The Taking of Pelham One Two Three,111000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Medina Ltd,Summer
Batoru rowaiaru,149000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mcgee, Miller and Gonzalez",Winter
Birdman or (The Unexpected Virtue of Ignorance),156000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams PLC,Spring
Amélie,168000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Silva-Hall,Summer
His Girl Friday,83000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Salazar-Johnson,Spring
Dil Chahta Hai,120000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Larson PLC,Spring
Detachment,114000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,King-Nolan,Summer
Perfetti sconosciuti,114000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mayo-Bailey,Winter
Days of Heaven,173000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Diaz, Hill and Ponce",Winter
The Thin Man,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Anderson-Ross,Winter
The Searchers,131000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bowman-Morgan,Fall
Baby Driver,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bradshaw, Johnson and Lucas",Summer
Kis Uykusu,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Henderson LLC,Fall
Secrets & Lies,44000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bentley, Arnold and Mills",Fall
Hedwig and the Angry Inch,169000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Brown Ltd,Fall
Bound by Honor,22000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mccormick, Wagner and Church",Spring
The Last King of Scotland,73000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Becker, Knight and Thomas",Spring
Blazing Saddles,132000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Adams-Weiss,Summer
Ford v Ferrari,170000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Huffman-Shelton,Summer
12 Angry Men,163000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Campos Ltd,Spring
Lucky Number Slevin,159000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Miller LLC,Spring
The Count of Monte Cristo,86000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Marshall-Atkins,Fall
Match Point,24000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Johnson, Brown and Proctor",Winter
The Trial of the Chicago 7,193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Chase-Scott,Winter
Rockstar,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bryan LLC,Winter
In the Heat of the Night,173000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hancock, Mendez and Cole",Winter
Mission: Impossible - Fallout,80000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cordova-Graham,Winter
The Breakfast Club,58000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Nelson, Williams and Dunn",Fall
American Beauty,51000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Bishop-Bates,Summer
Abre los ojos,38000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harris-Daniels,Spring
What We Do in the Shadows,7000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez-Harris,Fall
Dunkirk,12000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hall-Thomas,Winter
The Princess Bride,63000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Powell, Wagner and Caldwell",Spring
Iron Man,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Young-Moore,Fall
Back to the Future,157000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Blair-Scott,Winter
It's a Wonderful Life,197000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kelly Inc,Fall
Ray,19000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Willis PLC,Spring
Star Trek II: The Wrath of Khan,117000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Roberts-Martinez,Summer
Mommy,107000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Duncan LLC,Winter
Baahubali 2: The Conclusion,162000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Perez Group,Spring
Se7en,148000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Sweeney, Rodriguez and Johnson",Spring
Nelyubov,50000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gray, Cohen and Martin",Summer
How to Train Your Dragon,184000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Gray-Blanchard,Fall
The Wrestler,179000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jackson, Dennis and Wyatt",Summer
Zwartboek,99000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hammond, Myers and Washington",Summer
The Incredibles,127000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Anderson, Smith and Ingram",Fall
Cool Hand Luke,103000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hill-Parker,Fall
Papillon,63000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reese-Levy,Fall
Dip huet seung hung,38000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Patel Ltd,Spring
Sling Blade,168000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Park-Cruz,Spring
Big Hero 6,177000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Romero-Warren,Winter
Life of Pi,2000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Sawyer-Rodriguez,Winter
Mandariinid,193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fowler-Velazquez,Summer
Django Unchained,198000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Conway-Figueroa,Summer
Captain Fantastic,28000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Tanner-Richardson,Winter
Cast Away,200000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reed-Dalton,Summer
Chhichhore,109000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stone-Nelson,Fall
The Little Mermaid,57000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Marshall, Powell and Lewis",Spring
True Romance,46000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Jimenez-Potter,Winter
The Verdict,179000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Vance-Stephenson,Spring
Sense and Sensibility,133000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Duncan-Stewart,Winter
3 Idiots,119000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Webb-Hardy,Spring
Hamlet,13000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Montes, Maldonado and Meyer",Winter
The Matrix,143000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,King Inc,Spring
"Swades: We, the People",64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mitchell-Ross,Fall
American History X,32000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Scott Group,Winter
"4 luni, 3 saptamâni si 2 zile",117000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Owens-Brown,Winter
Yeopgijeogin geunyeo,35000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Martinez-Davis,Winter
Dial M for Murder,119000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Watson, Williams and Mueller",Fall
This Is England,171000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Sanders, Jones and Leach",Spring
Rush,136000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Mccullough and Sons,Winter
Road to Perdition,144000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Erickson, Miles and Johnson",Spring
City Lights,153000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Ramos, Marshall and Owens",Fall
Searching,82000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Castro, Frazier and Valdez",Summer
Serbuan maut 2: Berandal,194000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Barr, Vazquez and Clark",Winter
The Social Network,114000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harrison PLC,Fall
Frankenstein,157000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Turner PLC,Spring
Get Out,185000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Chung, Mcpherson and Munoz",Winter
The Man Who Shot Liberty Valance,130000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Hernandez, Wells and Brewer",Spring
Guess Who's Coming to Dinner,110000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reynolds-Gray,Summer
"Crna macka, beli macor",141000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mason, Long and Brock",Winter
En man som heter Ove,115000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fuentes PLC,Winter
All Quiet on the Western Front,41000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Carroll PLC,Spring
Arsenic and Old Lace,191000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,White-Houston,Winter
Giant,122000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Werner, Lozano and Richard",Fall
Il postino,116000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Perez, Montgomery and Wilson",Fall
The Birds,67000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Barry and Sons,Summer
"Paris, Texas",193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Davis-Morris,Fall
Haider,64000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Stephens-Hodge,Summer
"Lock, Stock and Two Smoking Barrels",164000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Young LLC,Spring
High Noon,71000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Jones, Barker and Kim",Spring
The Theory of Everything,197000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Nolan-Benton,Summer
Beauty and the Beast,200000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Avery LLC,Fall
Bonnie and Clyde,134000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Villegas,Fall
Arrival,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simmons-Baker,Summer
The Last of the Mohicans,161000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Blankenship PLC,Summer
Tangled,62000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mcbride, Wolfe and Diaz",Spring
Idi i smotri,71000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Andersen, Smith and Parsons",Summer
A Night at the Opera,113000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Miller, Harris and Barron",Fall
The Iron Giant,20000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Russell, Huerta and Villa",Summer
The Godfather,183000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Henry-Mccoy,Summer
The Station Agent,74000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Hernandez PLC,Summer
Mad Max 2,61000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Tyler-Hale,Spring
The Lost Weekend,70000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Summers-Beck,Summer
Paths of Glory,86000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Fisher, Moss and Mitchell",Winter
Soul,82000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Yoder, Anderson and Richards",Winter
Whiplash,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reynolds-Walker,Winter
Crash,21000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Morris, Keller and Clark",Fall
Hable con ella,36000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Bryant, Gomez and Morgan",Fall
The Graduate,39000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Burke PLC,Summer
The Best Years of Our Lives,60000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Brennan, Marshall and Salazar",Winter
G.O.R.A.,99000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Becker PLC,Spring
Miracle in cell NO.7,178000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Young PLC,Winter
Guardians of the Galaxy,40000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Browning-Clark,Winter
Philomena,181000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Smith, Webster and Simmons",Fall
The Adventures of Robin Hood,55000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thompson-Howard,Fall
Tropa de Elite 2: O Inimigo Agora é Outro,17000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Phillips-Romero,Spring
Kung fu,107000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Gregory, Jones and Huff",Fall
Kill Bill: Vol. 1,105000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Kane PLC,Spring
The Lord of the Rings: The Two Towers,85000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Marquez LLC,Fall
La Grande Illusion,139000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Smith,Winter
The Big Short,120000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Simpson Inc,Winter
Festen,107000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilson-Russell,Spring
Fitzcarraldo,16000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Khan-Ross,Spring
Andaz Apna Apna,53000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,May PLC,Fall
First Blood,108000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Reynolds Ltd,Fall
The Jungle Book,100000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Malone LLC,Spring
Todo sobre mi madre,198000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Wilkins-Smith,Spring
Philadelphia,150000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Harris LLC,Winter
The Irishman,179000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Smith-Rogers,Winter
Blood Simple,6000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Braun Inc,Spring
Gegen die Wand,196000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thomas PLC,Winter
The Last Emperor,148000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Yates-Rogers,Summer
Catch Me If You Can,98000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Garcia Inc,Fall
King Kong,123000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Cruz and Sons,Winter
Fantasia,2000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Willis, Terry and Chandler",Summer
The Philadelphia Story,91000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Oneal LLC,Spring
The Right Stuff,77000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Mack, Holmes and Knight",Winter
Rashômon,193000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"Maxwell, Fowler and Dillon",Spring
Man on Fire,100000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fleming-Snyder,Fall
Midnight Cowboy,108000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Watkins-Morales,Spring
Jojo Rabbit,138000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Morgan-Wolf,Summer
The Goonies,192000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Fox-Ramos,Spring
Cowboy Bebop: Tengoku no tobira,189000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Key LLC,Summer
Spider-Man: Into the Spider-Verse,140000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Carpenter-Wilson,Winter
Nightcrawler,155000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Thomas Group,Winter
The Big Sleep,57000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Carson-Weaver,Summer
The Dirty Dozen,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Rivera and Sons,Fall
Beasts of No Nation,57000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Williams-Avery,Fall
The Big Lebowski,70000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Contreras Group,Fall
Interstellar,112000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Davis PLC,Winter
Mr. Smith Goes to Washington,125000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,"David, Miller and Watson",Winter
La règle du jeu,8000000,<function <lambda> at 0x00000168A434E0C0>,<function <lambda> at 0x00000168A43CA0C0>,Atkins Ltd,Fall
